Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio
0,Andover,1.9,92.1,2.0,0.9,3.0,46.2,15.835,286800.0,99885.0,0.337
1,Ansonia,10.55,63.65,21.5,2.3,2.0,41.45,37.8,217150.0,48507.0,0.452
2,Ashford,0.8,93.7,3.6,0.4,1.55,40.65,18.045,251850.0,81389.5,0.421
3,Avon,0.55,82.2,3.4,12.1,1.3,45.7,8.59,374200.0,123485.5,0.477
4,Barkhamsted,0.1,95.8,1.25,1.75,0.75,46.8,16.03,257200.0,99617.5,0.361
5,Beacon Falls,1.0,92.35,5.55,0.4,0.65,46.6,20.765,242300.0,83498.0,0.377
6,Berlin,0.65,90.15,4.3,3.75,0.95,47.05,18.175,289600.0,94942.5,0.405
7,Bethany,1.15,87.0,4.15,5.65,2.1,44.35,10.415,374900.0,124144.0,0.403
8,Bethel,3.85,79.3,8.9,6.15,1.4,42.05,22.555,337100.0,93549.0,0.414
9,Bethlehem,0.8,94.65,1.9,0.95,1.5,49.35,18.41,342300.0,88271.5,0.455
10,Bloomfield,55.65,31.7,6.6,3.15,2.65,48.9,31.155,213650.0,75948.0,0.441
11,Bolton,1.35,89.35,4.95,2.35,1.9,46.45,15.775,282000.0,104820.5,0.395
12,Bozrah,2.1,91.2,2.7,0.6,3.15,43.4,24.395,231850.0,84441.5,0.328
13,Branford,1.8,88.0,4.95,3.75,1.1,49.55,23.96,303600.0,76204.5,0.463
14,Bridgeport,32.45,20.3,40.65,3.55,2.1,33.7,49.03,177550.0,44642.5,0.478
15,Bridgewater,2.35,91.7,4.0,0.75,1.15,54.35,12.78,502850.0,114305.0,0.497
16,Bristol,4.15,76.45,14.45,1.8,2.8,41.05,29.795,196600.0,64981.5,0.429
17,Brookfield,1.15,87.45,4.8,4.9,1.4,45.05,13.94,371050.0,114988.0,0.421
18,Brooklyn,1.45,89.1,6.1,2.2,1.1,43.15,19.155,225250.0,68343.5,0.402
19,Burlington,0.65,93.15,2.3,2.4,1.4,43.0,13.075,328100.0,121627.5,0.391
20,Canaan,1.9,95.25,1.1,0.65,1.2,53.2,24.605,330100.0,70535.5,0.485
21,Canterbury,1.05,95.65,1.5,0.7,1.15,44.8,20.735,234050.0,85020.0,0.354
22,Canton,2.1,88.75,5.3,2.2,1.45,48.15,15.865,313850.0,88594.5,0.442
23,Chaplin,0.55,89.7,6.25,0.2,3.3,42.6,23.925,206150.0,75223.5,0.362
24,Cheshire,3.95,79.6,6.15,6.85,3.05,44.95,13.26,338300.0,114483.0,0.392
25,Chester,0.95,93.5,3.75,1.0,0.85,49.85,20.31,333650.0,83233.5,0.4
26,Clinton,0.25,90.05,7.1,1.35,0.75,46.55,21.065,285550.0,80893.5,0.434
27,Colchester,1.45,91.4,3.55,1.9,1.6,40.4,18.74,270950.0,102613.5,0.375
28,Colebrook,0.65,95.35,1.9,0.8,1.25,48.55,15.895,275700.0,88711.0,0.345
29,Columbia,0.9,89.5,3.8,0.6,4.7,50.5,19.325,254650.0,97448.5,0.377
30,Connecticut,9.75,67.6,15.55,4.35,2.25,40.75,26.275,275100.0,75093.0,0.495
31,Cornwall,0.2,91.45,3.8,2.75,1.4,52.75,16.66,444750.0,83015.0,0.548
32,Coventry,0.5,93.3,2.65,1.9,0.75,44.55,16.65,257000.0,91964.0,0.363
33,Cromwell,6.95,78.45,8.7,3.25,2.5,43.35,19.39,244450.0,85821.5,0.405
34,Danbury,6.95,53.3,29.15,6.05,2.25,37.85,28.005,299600.0,69940.0,0.441
35,Darien,0.65,87.95,3.55,5.45,2.1,39.25,10.13,1372850.0,226328.0,0.511
36,Deep River,2.35,90.85,4.3,1.55,0.8,46.35,20.885,281000.0,74945.0,0.457
37,Derby,5.65,65.55,23.3,3.15,1.35,43.3,30.815,203150.0,55065.0,0.42
38,Durham,0.25,93.0,2.2,1.55,2.6,44.8,12.84,344050.0,121893.5,0.4
39,East Granby,3.4,79.95,9.5,2.1,4.9,42.9,17.385,284700.0,90125.0,0.371
40,East Haddam,0.85,93.5,3.05,0.6,1.8,46.85,15.315,291100.0,88901.0,0.407
41,East Hampton,1.55,89.1,3.55,3.7,1.75,44.3,12.86,262250.0,95981.0,0.385
42,East Hartford,24.25,35.0,33.35,4.45,2.45,38.0,43.28,166850.0,54161.5,0.432
43,East Haven,3.6,74.35,15.85,4.25,1.6,42.0,30.275,214500.0,65446.5,0.413
44,East Lyme,3.5,79.9,7.7,5.95,2.7,46.95,19.53,312450.0,90026.0,0.409
45,East Windsor,6.6,76.05,7.15,7.2,2.85,43.25,24.77,210300.0,76732.5,0.371
46,Eastford,0.45,94.25,2.7,0.55,2.05,46.15,12.695,254050.0,87545.5,0.353
47,Easton,0.2,90.7,3.65,2.7,2.25,50.05,11.165,638300.0,149032.0,0.426
48,Ellington,1.65,86.8,4.05,4.85,2.55,40.2,18.61,266400.0,87595.0,0.422
49,Enfield,6.45,77.35,10.0,2.6,3.2,40.4,26.16,189100.0,75304.5,0.388
50,Essex,1.25,93.7,2.25,1.65,1.15,52.95,12.725,393350.0,94309.5,0.461
51,Fairfield,1.45,84.9,6.65,4.5,2.05,40.75,15.66,591700.0,131307.0,0.501
52,Farmington,2.85,78.2,5.45,11.45,1.7,43.9,14.345,330800.0,94487.0,0.481
53,Franklin,1.1,87.85,5.1,0.25,5.55,45.25,12.0,242000.0,89791.5,0.382
54,Glastonbury,1.65,82.7,5.25,8.65,1.25,44.65,15.745,345700.0,114811.5,0.452
55,Goshen,0.4,90.35,3.95,0.7,3.5,47.55,8.83,357650.0,104899.5,0.444
56,Granby,0.8,92.5,2.65,1.5,2.35,47.35,11.07,296850.0,107009.0,0.42
57,Greenwich,2.7,74.85,12.1,7.45,2.4,42.8,15.52,1273850.0,147845.0,0.58
58,Griswold,0.85,87.4,3.95,2.25,4.75,41.35,27.955,190000.0,60757.0,0.431
59,Groton,6.25,70.05,12.5,5.4,5.25,33.5,27.395,250200.0,65493.0,0.443
60,Guilford,0.9,89.4,4.4,3.55,1.75,48.25,14.835,390650.0,103687.5,0.469
61,Haddam,0.8,91.6,2.85,3.75,1.0,46.3,16.005,322500.0,103469.5,0.392
62,Hamden,22.9,58.25,10.6,5.15,2.6,37.1,26.175,228150.0,74696.5,0.43
63,Hampton,0.35,94.4,2.35,0.3,2.25,48.3,22.985,233600.0,76494.5,0.386
64,Hartford,35.0,15.15,44.45,2.55,2.15,31.6,63.175,165800.0,33392.0,0.504
65,Hartland,0.5,93.0,1.2,1.15,2.2,49.6,12.355,274450.0,94907.0,0.392
66,Harwinton,0.85,96.9,1.05,0.9,0.25,47.65,17.365,295800.0,101263.5,0.403
67,Hebron,0.3,93.7,3.3,1.2,1.45,44.2,13.175,300850.0,115574.5,0.363
68,Kent,4.45,87.75,1.6,1.9,3.65,51.75,15.175,378200.0,69029.0,0.476
69,Killingly,1.3,88.75,4.8,1.75,3.25,41.85,32.245,191800.0,60917.5,0.406
70,Killingworth,0.25,93.25,2.2,1.55,2.7,48.85,8.95,367000.0,108299.5,0.394
71,Lebanon,0.3,93.8,3.3,1.25,1.35,46.6,18.195,261700.0,93398.5,0.352
72,Ledyard,2.0,80.15,6.3,3.9,5.5,39.7,22.0,238300.0,88632.0,0.366
73,Lisbon,0.15,94.6,1.1,0.95,2.1,43.7,22.7,235950.0,83920.5,0.364
74,Litchfield,1.55,90.65,4.3,1.2,2.1,51.3,17.565,307700.0,84801.0,0.468
75,Lyme,1.3,93.45,2.45,1.05,1.75,52.8,14.02,508150.0,94158.5,0.497
76,Madison,0.3,92.75,2.05,2.65,2.2,48.6,10.605,439850.0,113480.0,0.46
77,Manchester,13.3,58.1,14.6,10.1,3.15,35.6,31.75,183900.0,68714.0,0.42
78,Mansfield,4.0,76.7,5.55,11.4,2.15,21.1,21.46,245650.0,55377.5,0.519
79,Marlborough,1.0,92.9,4.65,0.8,0.5,44.15,12.775,300650.0,111122.5,0.389
80,Meriden,9.1,57.45,29.35,1.8,2.0,40.35,36.805,175350.0,56530.0,0.406
81,Middlebury,0.75,87.7,3.7,5.85,2.0,46.1,12.025,352650.0,109118.0,0.425
82,Middlefield,0.05,95.65,1.95,1.85,0.4,48.45,15.645,294400.0,90734.0,0.402
83,Middletown,13.05,68.4,9.95,5.3,3.25,37.5,31.355,230550.0,62856.5,0.454
84,Milford,2.55,83.85,6.25,5.55,1.5,44.7,19.24,311100.0,87937.0,0.438
85,Monroe,1.55,85.15,5.65,5.05,2.5,42.95,12.865,377000.0,116202.5,0.426
86,Montville,5.65,75.6,8.55,5.0,3.95,43.15,24.38,204400.0,75400.5,0.388
87,Morris,0.15,95.65,2.85,0.25,0.7,47.55,13.355,335450.0,82995.0,0.501
88,Naugatuck,7.45,74.65,12.1,2.15,3.5,39.75,26.505,185800.0,68022.5,0.439
89,New Britain,10.75,41.7,41.4,2.85,2.9,33.4,46.765,160900.0,43925.0,0.458
90,New Canaan,1.15,88.05,5.15,3.65,1.7,42.65,12.955,1288700.0,184257.0,0.545
91,New Fairfield,0.5,87.5,8.05,1.35,2.45,43.65,12.445,357850.0,107928.0,0.404
92,New Hartford,0.35,95.45,2.0,0.85,0.75,44.75,12.4,282950.0,95498.0,0.367
93,New Haven,32.15,30.2,29.45,5.1,2.35,30.5,51.38,198450.0,40849.5,0.519
94,New London,14.1,46.8,31.5,2.75,4.6,31.25,48.425,186150.0,41837.0,0.484
95,New Milford,1.8,86.4,6.9,2.85,1.9,43.05,18.945,297400.0,86079.0,0.433
96,Newington,3.8,76.75,9.35,6.5,2.8,45.15,24.315,230900.0,81340.5,0.37
97,Newtown,1.3,88.3,6.3,2.35,1.35,44.95,15.215,402150.0,118025.0,0.416
98,Norfolk,0.35,90.95,2.7,1.05,4.85,51.6,18.72,316350.0,74027.0,0.488
99,North Branford,1.45,92.75,3.15,1.4,1.25,47.85,17.615,294000.0,90358.0,0.421
100,North Canaan,1.35,89.8,7.95,0.1,0.8,46.15,22.01,207400.0,66222.5,0.397
101,North Haven,3.85,84.55,4.4,5.65,1.2,45.85,17.45,296350.0,95576.0,0.413
102,North Stonington,1.55,86.05,4.8,2.55,4.45,46.75,16.215,294800.0,68958.5,0.402
103,Norwalk,13.5,53.15,26.15,4.9,1.75,40.25,26.305,424450.0,83236.5,0.491
104,Norwich,10.25,60.2,15.5,7.65,5.55,37.85,38.245,173600.0,53821.5,0.436
105,Old Lyme,0.65,93.5,2.85,2.0,0.7,50.95,13.265,397750.0,96221.0,0.44
106,Old Saybrook,0.65,91.5,3.5,2.75,1.2,52.3,15.645,387350.0,79299.0,0.459
107,Orange,3.7,81.7,3.25,9.55,1.5,45.25,15.97,388000.0,118268.0,0.437
108,Oxford,1.95,90.05,5.6,1.35,1.05,45.4,13.365,356600.0,101692.5,0.365
109,Plainfield,2.7,89.1,3.9,1.95,2.2,41.35,24.0,181850.0,63681.0,0.382
110,Plainville,2.25,84.6,8.95,3.0,1.2,42.45,29.08,206650.0,64256.0,0.406
111,Plymouth,1.1,89.5,5.3,0.15,3.7,43.2,24.19,200550.0,74598.0,0.374
112,Pomfret,1.05,94.3,2.65,0.8,1.0,44.75,16.32,288500.0,91420.5,0.423
113,Portland,0.4,94.05,3.4,0.65,1.35,43.7,20.42,250250.0,94085.5,0.424
114,Preston,1.3,85.35,1.65,5.15,5.6,46.35,20.68,254250.0,78580.0,0.395
115,Prospect,4.35,88.95,3.55,0.55,2.4,46.0,16.325,295700.0,104532.0,0.341
116,Putnam,0.7,91.7,3.65,0.65,3.2,43.8,39.7,188350.0,57970.5,0.418
117,Redding,0.7,91.3,3.85,1.7,2.3,47.9,12.29,591950.0,128599.0,0.465
118,Ridgefield,0.95,88.35,5.3,3.2,1.75,44.75,11.665,665350.0,149266.0,0.492
119,Rocky Hill,4.0,71.45,6.05,15.4,1.8,43.15,20.825,265500.0,83349.5,0.406
120,Roxbury,0.0,95.65,2.2,1.5,0.5,52.0,6.465,612100.0,102969.0,0.514
121,Salem,2.15,89.1,4.25,2.85,0.85,39.05,16.205,288800.0,105025.5,0.391
122,Salisbury,1.6,93.6,2.5,1.3,1.05,51.3,17.465,505250.0,77713.0,0.5
123,Scotland,0.1,85.9,5.0,0.05,8.9,44.4,9.66,230150.0,83986.5,0.331
124,Seymour,3.35,82.8,9.8,2.45,1.05,41.55,23.315,263600.0,78693.5,0.402
125,Sharon,0.65,90.5,3.3,1.1,4.3,57.85,9.165,390900.0,86092.5,0.553
126,Shelton,1.6,85.7,7.0,4.3,1.25,47.05,18.455,344200.0,92871.5,0.439
127,Sherman,0.0,93.3,2.65,1.95,1.3,52.65,12.3,474150.0,114540.0,0.506
128,Simsbury,2.7,85.6,5.65,3.55,1.75,44.4,11.135,334800.0,121092.0,0.446
129,Somers,6.4,82.8,6.5,1.75,1.0,43.85,14.68,313350.0,100955.0,0.403
130,South Windsor,4.05,76.7,5.4,11.75,1.8,43.15,14.33,283400.0,108680.5,0.409
131,Southbury,1.65,89.0,4.5,3.15,1.55,50.55,15.065,319600.0,93093.0,0.435
132,Southington,1.45,90.65,4.1,2.65,1.05,45.2,16.59,278600.0,91901.0,0.403
133,Sprague,2.1,86.0,5.1,1.15,4.8,41.7,22.065,213950.0,68526.0,0.385
134,Stafford,0.35,92.35,4.0,1.3,1.95,43.15,26.695,195200.0,72458.5,0.404
135,Stamford,13.45,49.35,26.5,8.65,1.65,36.9,25.31,521400.0,88122.0,0.515
136,Sterling,2.65,91.3,2.5,0.65,1.8,39.35,26.155,210100.0,78431.5,0.339
137,Stonington,1.25,89.05,3.65,2.0,3.9,49.15,21.39,345250.0,85322.0,0.469
138,Stratford,16.75,61.4,16.9,2.6,1.7,43.6,27.32,259000.0,74586.0,0.424
139,Suffield,9.0,78.8,6.95,2.7,2.35,42.4,16.645,315500.0,105322.5,0.431
140,Thomaston,0.45,90.75,5.7,1.6,1.45,43.3,19.445,215450.0,69115.0,0.381
141,Thompson,0.15,94.8,2.6,0.5,1.75,46.0,18.55,208900.0,72546.0,0.392
142,Tolland,0.6,91.75,3.65,2.2,1.75,43.45,11.1,288850.0,114480.0,0.397
143,Torrington,2.45,83.85,9.05,2.8,1.7,45.1,28.515,160750.0,58463.0,0.412
144,Trumbull,3.4,80.05,8.65,5.4,1.75,42.8,14.43,398200.0,120275.5,0.409
145,Union,0.15,94.5,2.5,1.6,0.9,50.0,9.045,276000.0,88488.0,0.354
146,Vernon,6.15,76.9,9.15,4.4,2.9,38.45,28.685,208800.0,63726.5,0.415
147,Voluntown,0.0,91.25,3.15,0.55,4.7,46.05,22.3,237700.0,80297.5,0.354
148,Wallingford,1.5,82.05,10.15,4.8,1.2,44.95,20.16,268900.0,78557.0,0.404
149,Warren,0.6,88.35,4.95,4.75,1.3,49.0,15.35,374250.0,106370.0,0.48
150,Washington,0.7,88.45,8.45,1.15,0.9,51.45,20.795,454450.0,91734.0,0.595
151,Waterbury,18.75,39.75,35.95,1.95,3.0,35.8,46.015,133600.0,43398.0,0.463
152,Waterford,2.6,85.3,5.7,3.15,2.75,47.8,21.54,252450.0,83313.0,0.415
153,Watertown,1.5,89.05,6.8,1.35,0.95,45.25,22.015,246750.0,75343.0,0.424
154,West Hartford,6.6,72.4,10.85,7.65,2.1,41.35,20.87,321800.0,95899.5,0.478
