Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio,Percent Public School Enrollment,Percent Private School Enrollment,Percent With Private Health Insurance,Percent With Public Health Insurance,Percent Without Health Insurance,"Total Crime Index per 100,000","Total Violent Crime per 100,000","Total Property Crime per 100,000","Drug Arrests per 10,000"
0,Andover,1.9,92.1,2.0,0.9,3.0,46.2,15.835,286800.0,99885.0,0.337,95.25,4.75,87.45,22.55,2.95,531.975,35.162,496.8,3.133
1,Ansonia,10.55,63.65,21.5,2.3,2.0,41.45,37.8,217150.0,48507.0,0.452,89.75,10.25,61.7,43.8,6.25,2047.5,147.8,1899.662,44.826
2,Ashford,0.8,93.7,3.6,0.4,1.55,40.65,18.045,251850.0,81389.5,0.421,97.05,2.95,72.45,36.5,4.75,576.675,57.95,518.725,6.981
3,Avon,0.55,82.2,3.4,12.1,1.3,45.7,8.59,374200.0,123485.5,0.477,85.5,14.5,90.1,22.3,1.45,989.312,16.5,972.8,9.309
4,Barkhamsted,0.1,95.8,1.25,1.75,0.75,46.8,16.03,257200.0,99617.5,0.361,93.85,6.15,82.65,27.25,1.7,520.025,20.375,499.662,8.701
5,Beacon Falls,1.0,92.35,5.55,0.4,0.65,46.6,20.765,242300.0,83498.0,0.377,92.15,7.85,83.7,25.45,5.1,1086.688,61.1,1025.575,4.749
6,Berlin,0.65,90.15,4.3,3.75,0.95,47.05,18.175,289600.0,94942.5,0.405,85.45,14.55,83.6,28.0,2.55,1831.7,88.662,1743.038,12.49
7,Bethany,1.15,87.0,4.15,5.65,2.1,44.35,10.415,374900.0,124144.0,0.403,89.2,10.8,87.95,20.95,5.05,706.788,40.037,666.775,2.853
8,Bethel,3.85,79.3,8.9,6.15,1.4,42.05,22.555,337100.0,93549.0,0.414,86.3,13.7,75.1,26.8,6.5,1130.375,19.062,1111.3,9.529
9,Bethlehem,0.8,94.65,1.9,0.95,1.5,49.35,18.41,342300.0,88271.5,0.455,86.75,13.25,78.1,30.6,1.95,499.825,17.35,482.475,5.187
10,Bloomfield,55.65,31.7,6.6,3.15,2.65,48.9,31.155,213650.0,75948.0,0.441,86.15,13.85,78.55,35.8,4.25,2744.85,214.6,2530.25,27.466
11,Bolton,1.35,89.35,4.95,2.35,1.9,46.45,15.775,282000.0,104820.5,0.395,91.3,8.7,81.4,29.45,2.9,558.613,28.4,530.225,0.864
12,Bozrah,2.1,91.2,2.7,0.6,3.15,43.4,24.395,231850.0,84441.5,0.328,90.45,9.55,81.25,30.5,3.75,866.488,70.525,795.963,3.284
13,Branford,1.8,88.0,4.95,3.75,1.1,49.55,23.96,303600.0,76204.5,0.463,86.3,13.7,77.4,35.25,4.4,2277.625,69.55,2208.05,14.694
14,Bridgeport,32.45,20.3,40.65,3.55,2.1,33.7,49.03,177550.0,44642.5,0.478,88.55,11.45,44.2,46.8,16.5,3841.075,917.225,2923.837,31.223
15,Bridgewater,2.35,91.7,4.0,0.75,1.15,54.35,12.78,502850.0,114305.0,0.497,79.95,20.05,82.05,35.55,2.35,527.125,32.525,494.575,1.637
16,Bristol,4.15,76.45,14.45,1.8,2.8,41.05,29.795,196600.0,64981.5,0.429,89.05,10.95,70.05,36.2,5.6,2237.112,150.112,2087.0,25.9
17,Brookfield,1.15,87.45,4.8,4.9,1.4,45.05,13.94,371050.0,114988.0,0.421,86.4,13.6,85.1,23.7,3.05,989.05,36.387,952.637,12.347
18,Brooklyn,1.45,89.1,6.1,2.2,1.1,43.15,19.155,225250.0,68343.5,0.402,96.3,3.7,71.3,37.2,3.5,1113.475,97.612,1015.85,19.501
19,Burlington,0.65,93.15,2.3,2.4,1.4,43.0,13.075,328100.0,121627.5,0.391,89.4,10.6,87.65,20.45,2.7,450.888,14.5,436.388,5.894
20,Canaan,1.9,95.25,1.1,0.65,1.2,53.2,24.605,330100.0,70535.5,0.485,82.15,17.85,70.7,38.3,8.7,802.9,76.938,725.962,10.953
21,Canterbury,1.05,95.65,1.5,0.7,1.15,44.8,20.735,234050.0,85020.0,0.354,87.55,12.45,75.7,29.5,7.65,688.225,50.6,637.638,3.921
22,Canton,2.1,88.75,5.3,2.2,1.45,48.15,15.865,313850.0,88594.5,0.442,87.65,12.35,82.95,26.4,3.35,962.087,21.5,940.575,6.827
23,Chaplin,0.55,89.7,6.25,0.2,3.3,42.6,23.925,206150.0,75223.5,0.362,92.3,7.7,74.5,34.3,5.4,745.037,79.188,665.812,4.261
24,Cheshire,3.95,79.6,6.15,6.85,3.05,44.95,13.26,338300.0,114483.0,0.392,86.45,13.55,85.55,22.85,3.85,835.387,22.475,812.925,7.379
25,Chester,0.95,93.5,3.75,1.0,0.85,49.85,20.31,333650.0,83233.5,0.4,90.65,9.35,76.9,33.75,5.85,457.275,28.575,428.688,6.863
26,Clinton,0.25,90.05,7.1,1.35,0.75,46.55,21.065,285550.0,80893.5,0.434,90.2,9.8,76.3,30.05,7.3,2373.838,140.525,2233.312,50.144
27,Colchester,1.45,91.4,3.55,1.9,1.6,40.4,18.74,270950.0,102613.5,0.375,92.85,7.15,86.0,23.3,2.35,674.262,40.812,633.462,15.787
28,Colebrook,0.65,95.35,1.9,0.8,1.25,48.55,15.895,275700.0,88711.0,0.345,93.2,6.8,84.25,26.05,3.95,564.613,16.163,548.45,9.163
29,Columbia,0.9,89.5,3.8,0.6,4.7,50.5,19.325,254650.0,97448.5,0.377,81.1,18.9,81.4,30.0,2.65,609.312,28.65,580.662,2.62
30,Connecticut,9.75,67.6,15.55,4.35,2.25,40.75,26.275,275100.0,75093.0,0.495,87.15,12.85,71.8,33.2,6.6,2221.988,250.188,1971.788,32.053
