"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Number","Median Home Value",276300
"Andover","0901301080","2006-2010","Number","Margins of Error",21727
"Andover","0901301080","2006-2010","Ratio to State Median","Median Home Value",0.93
"Andover","0901301080","2006-2010","Ratio to State Median","Margins of Error",0.07
"Andover","0901301080","2007-2011","Number","Median Home Value",303500
"Andover","0901301080","2007-2011","Number","Margins of Error",27437
"Andover","0901301080","2007-2011","Ratio to State Median","Median Home Value",1.04
"Andover","0901301080","2007-2011","Ratio to State Median","Margins of Error",0.09
"Andover","0901301080","2008-2012","Number","Median Home Value",302500
"Andover","0901301080","2008-2012","Number","Margins of Error",29645
"Andover","0901301080","2008-2012","Ratio to State Median","Median Home Value",1.06
"Andover","0901301080","2008-2012","Ratio to State Median","Margins of Error",0.1
"Andover","0901301080","2009-2013","Number","Median Home Value",287200
"Andover","0901301080","2009-2013","Number","Margins of Error",35510
"Andover","0901301080","2009-2013","Ratio to State Median","Median Home Value",1.03
"Andover","0901301080","2009-2013","Ratio to State Median","Margins of Error",0.13
"Andover","0901301080","2010-2014","Number","Median Home Value",303200
"Andover","0901301080","2010-2014","Number","Margins of Error",24078
"Andover","0901301080","2010-2014","Ratio to State Median","Median Home Value",1.1
"Andover","0901301080","2010-2014","Ratio to State Median","Margins of Error",0.09
"Andover","0901301080","2011-2015","Number","Median Home Value",276200
"Andover","0901301080","2011-2015","Number","Margins of Error",28958
"Andover","0901301080","2011-2015","Ratio to State Median","Median Home Value",1.02
"Andover","0901301080","2011-2015","Ratio to State Median","Margins of Error",0.11
"Andover","0901301080","2012-2016","Number","Median Home Value",281700
"Andover","0901301080","2012-2016","Number","Margins of Error",15616
"Andover","0901301080","2012-2016","Ratio to State Median","Median Home Value",1.05
"Andover","0901301080","2012-2016","Ratio to State Median","Margins of Error",0.06
"Andover","0901301080","2013-2017","Number","Median Home Value",277100
"Andover","0901301080","2013-2017","Number","Margins of Error",13773
"Andover","0901301080","2013-2017","Ratio to State Median","Median Home Value",1.03
"Andover","0901301080","2013-2017","Ratio to State Median","Margins of Error",0.05
"Andover","0901301080","2014-2018","Number","Median Home Value",273300
"Andover","0901301080","2014-2018","Number","Margins of Error",14364
"Andover","0901301080","2014-2018","Ratio to State Median","Median Home Value",1
"Andover","0901301080","2014-2018","Ratio to State Median","Margins of Error",0.05
"Andover","0901301080","2015-2019","Number","Median Home Value",273900
"Andover","0901301080","2015-2019","Number","Margins of Error",13386
"Andover","0901301080","2015-2019","Ratio to State Median","Median Home Value",0.99
"Andover","0901301080","2015-2019","Ratio to State Median","Margins of Error",0.05
"Andover","0901301080","2016-2020","Number","Median Home Value",297400
"Andover","0901301080","2016-2020","Number","Margins of Error",25428
